dt,usr,title,body
3,bonni,急需替工楼面,日内瓦一中餐馆急需一名替工楼面，要求有工作经验，替工时间是从4月1号到5月底两个月时间，男女不限，有意者请拨打电话，0227326868！
14,xiexusong,洛桑郊区中餐馆招楼面,中餐馆位于 洛桑郊区savigny附近，招楼面一名，长工，包吃不包住，可以马上上班，最好有一定经验 电话0794450268
2010-1-28 16:00:21,terence820305,找个中文老师,有一个外国女人想找个中文老师，她有点中文基础，想找个中文老师，时间是周末，在Lausanne或者vevey附近。联系电话：0798084605  联系人：Isabelle
2013-1-25 17:26:53,lunattk12_cn,苏黎世找中文老师,"本帖最后由 lunattk12_cn 于 2013-1-26 11:05 编辑 (各位同学，没有想到回复很踊跃，已经找到合适人选，谢谢大家支持！如果公司再找人，我再更新，谢谢！)
各位苏黎世同学，我在日内瓦，不过这边有公司找私教中文老师，教课地点在苏黎世，如果有同学有经验的，我可以推荐给这家公司。
是一家驻地英国、美国的relocation service company，专门为会员公司的职员提供各项语言、住房等各方面的服务。我在日内瓦教中文的活是他们公司找的，一般是教成人或年轻人。
如果有同学有教中文经验（一对一或者一对多）、有业余时间感兴趣，可以告诉我，我把你们邮件转给公司，公司会跟你们直接联系，你们自己谈具体细节。公司会电话面试、还会签合同，是可靠的公司，我已经通过朋友连他们上市公司都查过了。
麻烦发站内短信告知邮箱，姓、性别、教中文多长时间，如有其它疑问请站内短信告知！
谢谢"
"",漂泊的叶子,找保姆,苏黎世找一名保姆照顾小孩，包吃住，休息一天。有意者请打电话联系。0763895388
6,yintin,招聘展会翻译，地陪导游，司机接送等兼职,"""我们是一家专业为全球企业提供展会兼职人才的中美合资服务公司，
总公司位于展会都市---拉斯维加斯。公司目前正倾力打造全新的官方网站：www .parttimebank. com , 
该新网站将汇聚全球各种语言兼职展会人才及丰富的企业招聘信息，
能够为企业提供世界各国当地的展会兼职人才，同时也免费为兼职人员带去非常多的工作机会。
我们目前现有的人才库大多数来自当地的大学留学生及本地市民。
更多关于我司信息，您可以登录我司老网站做初步了解：www .usachance. com 
现因客户需求增多，急需招聘各种展会兼职人才加入我司，
要求兼职人员必须熟悉当地环境和语言。
有兴趣的朋友，请 点击此处:
http: //www. usachance. com/usachance/download/item/resume?category_id=2
下载简历表格，
如实填写后发到：talent@usachance. com 
无论你之前是否从事过展会兼职，只要你自己有兴趣，有时间，
我们都欢迎你的加入。公司每个月工作机会都很多，
一旦你的简历通过我们的审核，
我们会向所有新老客户进行推荐，很快将带给你工作机会。
"""
"",兜内米168,弗里堡找人照顾小孩,弗里堡找人照顾小孩，包吃住，休息一天。有意者请打电话联系。0763291688 谢谢
2012-10-28 14:13:15,xiexusong,洛桑中餐馆招楼面一名,洛桑郊区中餐馆招楼面一名，长工，包吃不包住，可以马上上班，最好有一定经验 电话0794450268
5,格格格,瓦莱州招聘楼面一名,"瓦莱州招聘楼面一名,联系电话 076 2387722"
4,格格格,瓦莱州找大厨,"瓦莱州找大厨一名,联系电话:076 322 5048"
