t|b
急需 替工 楼面|日内瓦 一 中餐馆 急需 一 名 替工 楼面 ， 要求 有 工作 经验 ， 替工 时间 是 从 4 月 1 号 到 5 月 底 两 个 月 时间 ， 男女 不 限 ， 有意者 请 拨打 电话 ， 0 227326868 ！
洛桑 郊区 中餐馆 招 楼面|中餐馆 位于 洛桑 郊区 savigny 附近 ， 招 楼面 一 名 ， 长工 ， 包 吃 不 包住 ， 可以 马上 上班 ， 最好 有 一定 经验 电话 0794 450268
找个 中文 老师|有 一个 外国 女人 想 找 个 中文 老师 ， 她 有点 中文 基础 ， 想 找 个 中文 老师 ， 时间 是 周末 ， 在 Lausanne 或者 vevey 附近 。 联系 电话 ： 0798084605 联系 人 ： Isabelle
苏黎世 找 中文 老师|" 本 帖 最后 由 lunattk12_cn 于 2013-1-2611:05 编辑 ( 各位 同学 ， 没有 想到 回复 很 踊跃 ， 已经 找到 合适 人选 ， 谢谢 大家 支持 ！ 如果 公司 再 找 人 ， 我 再 更新 ， 谢谢 ！ )
各位 苏黎世 同学 ， 我 在 日内瓦 ， 不过 这边 有 公司 找 私 教 中文 老师 ， 教课 地点 在 苏黎世 ， 如果 有 同学 有 经验 的 ， 我 可以 推荐 给 这家 公司 。
是 一 家 驻地 英国 、 美国 的 relocation service company ， 专门 为 会员 公司 的 职员 提供 各项 语言 、 住房 等 各 方面 的 服务 。 我 在 日内瓦 教 中文 的 活 是 他们 公司 找 的 ， 一般 是 教成 人 或 年轻人 。
如果 有 同学 有 教 中文 经验 （ 一对一 或者 一对多 ） 、 有 业余 时间 感 兴趣 ， 可以 告诉 我 ， 我 把 你们 邮件 转给 公司 ， 公司 会 跟 你们 直接 联系 ， 你们 自己 谈 具体 细节 。 公司 会 电话 面试 、 还 会签 合同 ， 是 可靠 的 公司 ， 我 已经 通过 朋友 连 他们 上市 公司 都 查过 了 。
麻烦 发 站 内 短 信 告知 邮箱 ， 姓 、 性别 、 教 中文 多 长 时间 ， 如 有 其它 疑问 请 站 内 短 信 告知 ！
谢谢 "
找 保姆|苏黎世 找 一 名 保姆 照顾 小孩 ， 包 吃 住 ， 休息 一 天 。 有意者 请 打电话 联系 。 0763895388
招聘 展会 翻译 ， 地 陪 导游 ， 司机 接送 等 兼职|""" 我们 是 一 家 专业 为 全球 企业 提供 展会 兼职 人才 的 中 美 合资 服务 公司 ，
总公司 位于 展会 都市 --- 拉斯维加斯 。 公司 目前 正 倾力 打造 全新 的 官方 网站 ： www.parttimebank.com ,
该 新 网站 将 汇聚 全球 各种 语言 兼职 展会 人才 及 丰富 的 企业 招聘 信息 ，
能够 为 企业 提供 世界 各国 当地 的 展会 兼职 人才 ， 同时 也 免费 为 兼职 人员 带 去 非常 多 的 工作 机会 。
我们 目前 现有 的 人才库 大多数 来自 当地 的 大学 留学生 及 本地 市民 。
更 多 关于 我 司 信息 ， 您 可以 登录 我 司 老 网站 做 初步 了解 ： www.usachance.com
现因 客户 需求 增多 ， 急需 招聘 各种 展会 兼职 人才 加入 我 司 ，
要求 兼职 人员 必须 熟悉 当地 环境 和 语言 。
有 兴趣 的 朋友 ， 请 点击 此处 :
http : //www.usachance.com/usachance/ download/item/resume ? category _id = 2
下载 简历 表格 ，
如实 填写 后 发 到 ： talent@usachance.com
无论 你 之前 是否 从事 过 展会 兼职 ， 只要 你 自己 有 兴趣 ， 有 时间 ，
我们 都 欢迎 你 的 加入 。 公司 每个 月 工作 机会 都 很 多 ，
一旦 你 的 简历 通过 我们 的 审核 ，
我们 会 向 所有 新老客户 进行 推荐 ， 很快 将 带 给 你 工作 机会 。
"""
弗里堡 找人 照顾 小孩|弗里堡 找人 照顾 小孩 ， 包 吃 住 ， 休息 一 天 。 有意者 请 打电话 联系 。 0763 29 1688 谢谢
洛桑 中餐馆 招 楼面 一 名|洛桑 郊区 中餐馆 招 楼面 一 名 ， 长工 ， 包 吃 不 包住 ， 可以 马上 上班 ， 最好 有 一定 经验 电话 0794 450268
瓦莱州 招聘 楼面 一 名|瓦莱州 招聘 楼面 一 名 , 联系 电话 0762387722
瓦莱州 找 大厨|瓦莱州 找 大厨 一 名 , 联系 电话 : 0763225048
洛桑 理发|" 各位 朋友 ， 发型 乱 了 ？ 头发 长 了 ？
不用 担心 ， 拿 起 电话 拨 打 0774575718 。
她 随时 都 可以 帮 您们 剪 一个 好看 的 头发 ， 这样 出席 朋友 会 ， 有 一个 漂亮 的 发型 ， 多 有 面子 。
价钱 不贵 男 的 只要 20 瑞郎 ， 女 的 只要 25 瑞郎 。
请 勇于 拨打 这个 电话 ， 谢谢 。 "
洛桑 郊区 中餐 招 楼面|餐馆 位于 savigny 附近 , 现 招 楼面 一 名 , 包 吃 不 包住 , 来电 请 致 ： 0799566408
伯尔尼 中餐 招人|找 帮厨 和 楼面 ， 电话 0765220384 ， 请在 下午 2 点 后 拨打 ， 谢谢 。
洛桑餐馆 招 楼面 一 名 . （ part-time job )|" 洛桑餐馆 招 楼面 一 名 . （ part-time job )
有意者 请 联系 ： 0767551848 "
工作 信息|骗子 死 全家
洛桑 郊区 中餐 招 楼面|" 本 帖 最后 由 xiexusong 于 2013-2-1400:13 编辑
餐馆 位于 savigny 附近 , 现 招 楼面 一 名 , 包 吃 不 包住 , 来电 请 致 ： 0799566408"
招聘 3 月 5 日 上午 苏黎世 英语 或是 德语 口语 流利 临时 翻译 一 名|" 因 与 外方 在 苏黎士 有 一 场 关于 机场 交流 的 会议 , 需要 招聘 一 名 英语 或是 德语 口 流利 翻译 .
要求 : 英语口语 流利 或是 德语 口语 流利
地点 : 苏黎士
时间 : 3 月 5 日 上午 估计 两 小时 左右
报酬 ： 联系 上 谈 。
联系 方式 ： 邮箱 / MSN ： omylxs@ hotmail.com
QQ : 104 3015115 "
苏黎世 中餐 招人|苏黎世 餐馆 找 有 经验 帮厨 ， 电话 0765877188. 具体 请 电话 联系
德区 中餐 招 有 证 帮 厨|" 德区 中餐 招 有 证帮厨 ，
0788677073"
fribourg 找 女士 带 孩子|" 本 帖 最后 由 兜 内 米 168 于 2013-2-2419:34 编辑
急需 1 位 女士 带 孩子 一个 礼拜 休息 一 天 包 吃 包住 。 工资 面议 有意者 请 联系 0763 29 1688 Q632 911543"
找 女士 带 孩子|弗里堡 找人 带 孩子 ， 有 责任 心爱 干净 的 女士 ， 一个 礼拜 休息 一 天 。 待遇 面议 或 来电 咨询 . 联系 电话 0763 29 1688 Q 632 911543 谢谢
寻找 一 名 洗 碗工 （ 洛桑）|" 大家 好 ，
两 天 前 其实 我 已经 发 过 一个 帖子 来 为 餐馆 寻找 一 名 服务员 和 二 厨 。 http : //www.swissant.com/forum/vi... &extra = page % 3D1
今天 需要 再 加 一个 职位 的 招聘 ， 如 题 ， 我们 还 需要 一 名 洗 碗工 。 餐馆 位于 洛桑市 中心 。
有意 的 朋友 请 拨打 0789290596 来 联系 ， 谢谢 。
ps ： 需要 招聘 的 其实 是 我 的 家人 ， 我 为 他们 发 帖子 ， 留 的 电话 是 他们 的 ， 因为 我 无法 做主 。 也 是 因为 这个 原因 ， 如果 有 朋友 通过 论坛 内部 的 联系 方式 联系 我 而 我 没有 及时 回复 ， 我 表示 抱歉 。 "
1|" 本 帖 最后 由 takaaki 于 2013-2-2417:32 编辑
1"
找 楼面 或 保姆|法区 招 楼面 或 保姆 一 名 . 有意 者 请 站 内 留言 并 简单 的 自我 介绍 一下 . 谢谢 .
寻找 一 名 打短工 的 服务员 和 一 名 有 经验 的 二 厨 （ 洛桑）|" 本 帖 最后 由 lama214 于 2013-2-102 1:48 编辑
大家 好 ， 最近 快 过年 了 ， 餐馆 里 几 位 员工 回家 过年 ， 导致 目前 人手 严重 不足 ， 所以 想 在 这里 发 一个 帖子 进行 招聘 。 我们 需要 两 名 员工 ： 一 名 是 打短工 的 服务员 ， 大概 需要 工作 一个 月 左右 。 另 一 名 是 一 位 有 经验 的 二 厨 ， 会 做菜 ， 在 客人 很多 时 能够 帮助 另 一 位 厨师 出 菜 。
我们 的 餐馆 在 洛桑 ， 主要 做 中餐 和 泰餐 ， 位于 洛桑市 中心 。
如果 有 朋友 有意 的 话 ， 请 拨打 0789290596 ， 通过 电话 ， 我们 可以 进行 详谈 ， 谢谢 。
另外 快 过年 了 ， 祝 各位 新年 快乐 。 "
